Time,Ampl
996820,4.74539
996821,4.74441
996822,4.74454
996823,4.74486
996824,4.74458
996825,4.78674
996826,4.78601
996827,4.78606
996828,4.78608
996829,4.78518
996830,4.78527
996831,4.78518
996832,4.78393
996833,4.52628
996834,2.70033
996835,3.71239
996836,3.71133
996837,3.71112
996838,3.71081
996839,3.71084
996840,3.71088
996841,3.71098
996842,3.71054
996843,3.75425
996844,3.75377
996845,3.75372
996846,3.75436
996847,3.75414
996848,3.75419
996849,3.75388
996850,3.75395
996851,3.75798
996852,3.79699
996853,3.79714
996854,3.79679
996855,3.79712
996856,3.79631
996857,3.79664
996858,3.79649
996859,3.79652
996860,3.81148
996861,3.84005
996862,3.84004
996863,3.83917
996864,3.8402
996865,3.84017
996866,3.83978
996867,3.83978
996868,3.83982
996869,3.847
996870,3.88253
996871,3.88219
996872,3.88199
996873,3.88176
996874,3.88216
996875,3.8822
996876,3.88173
996877,3.88175
996878,3.92647
996879,3.92638
996880,3.92579
996881,3.92544
996882,3.92569
996883,3.9254
996884,3.92505
996885,3.92485
996886,3.93161
996887,3.96829
996888,3.96809
996889,3.96816
996890,3.96779
996891,3.96746
996892,3.96785
996893,3.96806
996894,3.96795
996895,3.98571
996896,4.01078
996897,4.01089
996898,4.01055
996899,4.01077
996900,4.01091
996901,4.01032
996902,4.01103
996903,4.01055
996904,4.03827
996905,4.05336
996906,4.05346
996907,4.05317
996908,4.05303
996909,4.05266
996910,4.05245
996911,4.05227
996912,4.05258
996913,4.08765
996914,4.09535
996915,4.09517
996916,4.09463
996917,4.09513
996918,4.09444
996919,4.09428
996920,4.09404
996921,4.09438
996922,4.13742
996923,4.13668
996924,4.137
996925,4.13663
996926,4.13614
996927,4.13617
996928,4.13607
996929,4.13568
996930,4.14106
996931,4.17856
996932,4.17892
996933,4.17847
996934,4.178
996935,4.17786
996936,4.17772
996937,4.17815
996938,4.17802
996939,4.19301
996940,4.22008
996941,4.22021
996942,4.21992
996943,4.21973
996944,4.21971
996945,4.21936
996946,4.21925
996947,4.21931
996948,4.22868
996949,4.26235
996950,4.26155
996951,4.26137
996952,4.26128
996953,4.26148
996954,4.26104
996955,4.26108
996956,4.26088
996957,4.28797
996958,4.30284
996959,4.30335
